Id,ProductId,Score,Sentiment,Polarity,Summary
1,B001E4KFG0,5,Positive,0.45,Good Quality Dog Food
2,B00813GRG4,1,Neutral,-0.033333333333333326,Not as Advertised
3,B000LQOCH0,4,Neutral,0.1335714285714286,"""Delight"" says it all"
4,B000UA0QIQ,2,Positive,0.16666666666666666,Cough Medicine
5,B006K2ZZ7K,5,Positive,0.48333333333333334,Great taffy
6,B006K2ZZ7K,4,Positive,0.25740740740740736,Nice Taffy
7,B006K2ZZ7K,5,Positive,0.215,Great!  Just as good as the expensive brands!
8,B006K2ZZ7K,5,Positive,0.41600000000000004,"Wonderful, tasty taffy"
9,B000E7L2R4,5,Positive,0.42857142857142855,Yay Barley
10,B00171APVA,5,Positive,0.44999999999999996,Healthy Dog Food
11,B0001PB9FE,5,Positive,0.19296875,The Best Hot Sauce in the World
12,B0009XLVG0,5,Neutral,0.012500000000000002,"My cats LOVE this ""diet"" food better than their regular food"
13,B0009XLVG0,1,Neutral,0.12992424242424241,My Cats Are Not Fans of the New Food
14,B001GVISJM,4,Positive,0.5800000000000001,fresh and greasy!
15,B001GVISJM,5,Negative,-0.5,Strawberry Twizzlers - Yummy
16,B001GVISJM,5,Positive,0.225,"Lots of twizzlers, just what you expect."
17,B001GVISJM,2,Positive,0.46249999999999997,poor taste
18,B001GVISJM,5,Positive,0.4125,Love it!
19,B001GVISJM,5,Neutral,0.11388888888888889,GREAT SWEET CANDY!
20,B001GVISJM,5,Positive,0.24,Home delivered twizlers
21,B001GVISJM,5,Positive,0.4,Always fresh
22,B001GVISJM,5,Neutral,0.11666666666666665,TWIZZLERS
23,B001GVISJM,5,Neutral,0.125,Delicious product!
24,B001GVISJM,5,Positive,0.25,Twizzlers
25,B001GVISJM,5,Positive,0.3214285714285714,Please sell these in Mexico!!
26,B001GVISJM,5,Neutral,0.0,Twizzlers - Strawberry
27,B001GVISJM,1,Neutral,0.0,Nasty No flavor
28,B001GVISJM,4,Positive,0.27666666666666667,Great Bargain for the Price
29,B00144C10S,5,Positive,0.30416666666666664,YUMMY!
30,B0001PB9FY,5,Positive,0.19296875,The Best Hot Sauce in the World
31,B003F6UO7K,5,Positive,0.2208333333333333,Great machine!
32,B003F6UO7K,5,Positive,0.6,THIS IS MY TASTE...
33,B001EO5QW8,4,Positive,0.2205,Best of the Instant Oatmeals
34,B001EO5QW8,4,Positive,0.3661538461538462,Good Instant
35,B001EO5QW8,5,Positive,0.29333333333333333,Great Irish oatmeal for those in a hurry!
36,B001EO5QW8,4,Positive,0.2261904761904762,satisfying
37,B001EO5QW8,5,Positive,0.2066666666666667,Love Gluten Free Oatmeal!!!
38,B001EO5QW8,5,Neutral,0.024305555555555563,it's oatmeal
39,B001EO5QW8,4,Positive,0.159375,GOOD WAY TO START THE DAY....
